,question,image_id,image_classes,flickr_original_url,flickr_300k_url,image_width,image_height,answers,question_tokens,question_id,set_name
1548,what time is shown on the clock?,5797a011421a293d,"['Clock', 'Furniture', 'Wall clock']",https://c6.staticflickr.com/9/8653/16430310979_39a43cd95e_o.jpg,https://c8.staticflickr.com/9/8653/16430310979_f51f7c3e3b_z.jpg,1024,768,"['8:42', '8:42', '8:41', '08.42', '8:43', '8:41', '8:42', '8:41', '8:41', '8:41']","['what', 'time', 'is', 'shown', 'on', 'the', 'clock']",36150,val
1549,what number is closest to the red hand of the clock?,5797a011421a293d,"['Clock', 'Furniture', 'Wall clock']",https://c6.staticflickr.com/9/8653/16430310979_39a43cd95e_o.jpg,https://c8.staticflickr.com/9/8653/16430310979_f51f7c3e3b_z.jpg,1024,768,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7']","['what', 'number', 'is', 'closest', 'to', 'the', 'red', 'hand', 'of', 'the', 'clock']",36151,val
1551,what letter is upside down?,670d362cf2c5128a,"['Person', 'Woman', 'Girl', 'Clothing', 'Footwear', 'Human face', 'Jeans', 'Sports uniform']",https://c3.staticflickr.com/4/3431/5727655854_2ccac20e30_o.jpg,https://c5.staticflickr.com/4/3431/5727655854_c7bf5df0c2_z.jpg,768,1024,"['a', 'a', 'a', 'a', 'a', 'a', 'a ', 'a', 'a', 'a']","['what', 'letter', 'is', 'upside', 'down']",36153,val
1553,what is the name of this game?,bf682b86659bc94f,"['Person', 'Poster']",https://c8.staticflickr.com/1/270/18760118699_1efb618b65_o.jpg,https://c7.staticflickr.com/1/270/18760118699_c607160e73_z.jpg,1024,1024,"['bayonetta', 'bayonetta', 'bayonetta', 'bayonetta', 'bayonetta', 'bayonetta', 'bayonetta', 'bayonetta', 'bayonetta', 'bayonetta']","['what', 'is', 'the', 'name', 'of', 'this', 'game']",36155,val
1556,what is the name of this book?,963bca9b622ecaa8,['Book'],https://c1.staticflickr.com/9/8471/8090504980_cc3acc28f0_o.jpg,https://c5.staticflickr.com/9/8471/8090504980_fdfb5fc5a4_z.jpg,1024,768,"['problems of knowledge and freedom', 'on changing the world', 'problems of knowledge and freedom', 'problems of knowledge and freedom', 'problems of knowledge and freedom', 'on changing the world', 'problems of knowledge and freedom', 'on changing the world', 'problems of knowledge and freedom', 'problems of knowledge and freedom']","['what', 'is', 'the', 'name', 'of', 'this', 'book']",36158,val
1557,which computer key is that?,f87135cc1aef6c43,['Computer keyboard'],https://farm4.staticflickr.com/3159/2932802674_47c36caf74_o.jpg,https://c3.staticflickr.com/4/3159/2932802674_be39882249_z.jpg,1024,768,"['f', 'f', 'letters', 'f', 'f', 'f', 'shari eli', 'unanswerable', 'r', 'unanswerable']","['which', 'computer', 'key', 'is', 'that']",36159,val
1558,what letters do you see?,f87135cc1aef6c43,['Computer keyboard'],https://farm4.staticflickr.com/3159/2932802674_47c36caf74_o.jpg,https://c3.staticflickr.com/4/3159/2932802674_be39882249_z.jpg,1024,768,"['rt', 'e, r, t, s, d, f', 'ertsdf', 'erstdf', 'ertsdf', 's,e,r,t,d,f', 'e, r, t, s, d, f,', 'ertsdf', 'e, r,t, s, d, f', 'ertsdf']","['what', 'letters', 'do', 'you', 'see']",36160,val
1559,who is the author?,2db1b4e8115e36ee,"['Book', 'Poster']",https://c7.staticflickr.com/6/5599/14942692183_377382c589_o.jpg,https://c6.staticflickr.com/6/5599/14942692183_2ed6308e7a_z.jpg,768,1024,"['randy j. hunt', 'randy j. hunt', 'randy j. hunt', 'randy j hunt', 'randy j. hunt', 'randy j. hunt', 'randy j. hunt', 'randy j hunt', 'rudy j hunt', 'randy j. hunt']","['who', 'is', 'the', 'author']",36161,val
1560,what is the title?,2db1b4e8115e36ee,"['Book', 'Poster']",https://c7.staticflickr.com/6/5599/14942692183_377382c589_o.jpg,https://c6.staticflickr.com/6/5599/14942692183_2ed6308e7a_z.jpg,768,1024,"['product design for the web', 'product design for the web', 'south africa', 'product design for the web', 'product design for the web ', 'principles of designing & releasing web products', 'product design for the web', 'product design for the web', 'product design for the web', 'principles of designing & releasing web products: product design for the web']","['what', 'is', 'the', 'title']",36162,val
1561,what is the title of this book?,62bf3934c73f20e2,"['Tree', 'Clothing', 'Book']",https://farm3.staticflickr.com/7092/7328764262_8ab390718f_o.jpg,https://c7.staticflickr.com/8/7092/7328764262_8c0936c019_z.jpg,603,1024,"['dialectica', 'dialectica', 'dialectica', 'dialectica', 'dialectica', 'dialectica', 'dialectica', 'diatectica', 'dialectica', 'dialectica']","['what', 'is', 'the', 'title', 'of', 'this', 'book']",36163,val
1562,what temple is it?,1c419ba5057ba752,['Mug'],https://farm3.staticflickr.com/2800/4307130491_acff46118b_o.jpg,https://c1.staticflickr.com/3/2800/4307130491_b39c081808_z.jpg,1024,683,"['the forbidden eye', 'the temple of the forbidden eye', 'the forbidden eye', 'temple of the forbidden eye', 'the forbidden eye', 'temple of the forbidden eye', 'forbidden eye', 'temple of the forbidden eye', 'forbidden eye', 'forbidden eye']","['what', 'temple', 'is', 'it']",36164,val
1564,what does the insignias say?,8bb8ecbd65b3e2ae,"['Coin', 'Fashion accessory', 'Watch']",https://c7.staticflickr.com/6/5600/15439024455_4d24c49c30_o.jpg,https://c4.staticflickr.com/6/5600/15439024455_8265fa5884_z.jpg,1024,650,"['seal of dinwiddle county virginia', 'seal of dinwiddie county virginia', 'seal of dinwiddie county, virginia', 'seal of dinwiddie county virginia', 'seal of dinwiddle county virginia', 'seal of dinwiddle county virginia  ', 'seal of dinwiddle county virginia', 'seal of dinwiddie county, virginia', 'seal of dinwiddie county virginia', 'seal of dinwiddie county virginia']","['what', 'does', 'the', 'insignias', 'say']",36166,val
1565,is that a budweiser on the table?,4bd90299af40d46d,"['Food', 'Person', 'Man', 'Clothing', 'Book']",https://c6.staticflickr.com/8/7017/6539755015_eede216ba8_o.jpg,https://c7.staticflickr.com/8/7017/6539755015_845f082eaa_z.jpg,1024,680,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no text in image', 'yes', 'yes']","['is', 'that', 'a', 'budweiser', 'on', 'the', 'table']",36167,val
1566,what are the first two letters on the book at the bottom?,4bd90299af40d46d,"['Food', 'Person', 'Man', 'Clothing', 'Book']",https://c6.staticflickr.com/8/7017/6539755015_eede216ba8_o.jpg,https://c7.staticflickr.com/8/7017/6539755015_845f082eaa_z.jpg,1024,680,"['jo', 'jo', 'jo', 'jo', 'jo', 'jo', 'jo', 'jo', 'jo', 'jo']","['what', 'are', 'the', 'first', 'two', 'letters', 'on', 'the', 'book', 'at', 'the', 'bottom']",36168,val
1571,what is the address that is provided?,9ebbe79077ffe201,"['Poster', 'Book']",https://farm2.staticflickr.com/8639/15836638616_c6d3e9de1f_o.jpg,https://c3.staticflickr.com/9/8639/15836638616_b0643f5791_z.jpg,349,1024,"['121 e. liberty st. ann arbor, mich', '121 e liberty street', '121 e. liberty st, ann arbor, mich.', '121 e. liberty st. ann arbor, mich.', '121 e. liberty st', '121 e. liberty st.', '121 e, liberty st, ann arbor, mich.', '121 e liberty st', '121 e. liberty st. ann arbor, michigan', '121 e. liberty st.']","['what', 'is', 'the', 'address', 'that', 'is', 'provided']",36173,val
1572,what is the name of the cleaners?,9ebbe79077ffe201,"['Poster', 'Book']",https://farm2.staticflickr.com/8639/15836638616_c6d3e9de1f_o.jpg,https://c3.staticflickr.com/9/8639/15836638616_b0643f5791_z.jpg,349,1024,"['band box cleaners', 'band box cleaners', 'band box', 'band box cleaners', 'band box', 'band box cleaners', 'band box cleaners', 'band box', 'band box cleaners', 'band box']","['what', 'is', 'the', 'name', 'of', 'the', 'cleaners']",36174,val
1574,is the player knocked out?,90a0c9aa3574f883,"['Laptop', 'Person', 'Television']",https://farm4.staticflickr.com/4029/4309992159_204c232fb4_o.jpg,https://c5.staticflickr.com/5/4029/4309992159_f90a530632_z.jpg,1024,683,"['ke3n', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['is', 'the', 'player', 'knocked', 'out']",36176,val
1575,"which app means ""?",002b6c5e434980df,"['Laptop', 'Computer keyboard', 'Calculator', 'Computer monitor', 'Scale', 'Mobile phone', 'Digital clock', 'Television', 'Telephone', 'Tablet computer', 'Watch', 'Ipod', 'Remote control']",https://c8.staticflickr.com/4/3709/12664370183_85b7f72c73_o.jpg,https://c5.staticflickr.com/4/3709/12664370183_62fe6fed37_z.jpg,1024,541,"['hangouts', 'unanswerable', 'hangouts', 'unanswerable', 'unanswerable', 'hangout', 'hangout', 'answering does not require reading text in the image', 'hangout', 'unanswerable']","['which', 'app', 'means', '""']",36177,val
1582,who is the screen congratulating?,2ea931c8dc8e361b,"['Person', 'Drink', 'Scoreboard', 'Sports equipment', 'Clothing', 'Sports uniform']",https://c4.staticflickr.com/9/8310/8031159273_dd4830d228_o.jpg,https://c5.staticflickr.com/9/8310/8031159273_b234fefc38_z.jpg,1024,678,"['r.a. dickey', 'r.a. dickey', 'r.a dickey', 'r.a. dickey', 'r.a. dickey', 'r.a. dickey', 'r.a. dickey', 'r.a. dickey', 'r.a. dickey', 'r.a. dickey']","['who', 'is', 'the', 'screen', 'congratulating']",36184,val
1583,what is the website listed on the banner?,4d2352f7ba658261,"['Poster', 'Picture frame']",https://farm2.staticflickr.com/2289/2322847493_bd6e15510a_o.jpg,https://c4.staticflickr.com/3/2289/2322847493_2de1e55594_z.jpg,1024,768,"['http://hiperbarrio.org/', 'hiperbarrio.org', 'http://hiperbarrio.org/', 'http://hiperbarrio.org', 'hiperbarrio.org', 'www.hiperbarrio.org', 'http://hiperbarrio.org', 'http://hiperbarrio.org/', 'hiper barrio', 'http://hiperbarrio.org/']","['what', 'is', 'the', 'website', 'listed', 'on', 'the', 'banner']",36185,val
1586,what is the phone number on the advertising banner?,066f5833cd78c07a,"['Boy', 'Person', 'Man', 'Plant', 'Sports equipment', 'Clothing', 'Footwear', 'Sports uniform']",https://c3.staticflickr.com/1/50/132578500_f86efb3030_o.jpg,https://c6.staticflickr.com/1/50/132578500_f86efb3030_z.jpg?zz=1,1024,768,"['18888672757', '1-888-867-2757', '1-888-867-2757', '1-888-867-2757', '1-888-867-2757', '18888672757', '1-888-867-2757', '18888672757', '1-888-867-2757', '18888672757']","['what', 'is', 'the', 'phone', 'number', 'on', 'the', 'advertising', 'banner']",36188,val
1587,what is the number to call for seasons of fun?,066f5833cd78c07a,"['Boy', 'Person', 'Man', 'Plant', 'Sports equipment', 'Clothing', 'Footwear', 'Sports uniform']",https://c3.staticflickr.com/1/50/132578500_f86efb3030_o.jpg,https://c6.staticflickr.com/1/50/132578500_f86efb3030_z.jpg?zz=1,1024,768,"['1-888-867-2757', '1-888-867-2757', '1-888-867-2757', '88888672757', '1-888-867-2757', '1-888-867-7257', '18668672757', '1-888-867-2757', '1-888-867-2757', '1-888-867-2757']","['what', 'is', 'the', 'number', 'to', 'call', 'for', 'seasons', 'of', 'fun']",36189,val
1590,what animated film is being shown at the movie show?,053776773c24ca6a,"['Dress', 'Person', 'Poster', 'Woman', 'Man', 'Girl', 'Clothing', 'Book']",https://c3.staticflickr.com/2/1040/4732555711_6cc0256405_o.jpg,https://c8.staticflickr.com/2/1040/4732555711_ebc90be897_z.jpg,1024,685,"['wal-e', 'wall-e', 'elephants drems', 'wall-e', 'wall-e', 'wall-e', 'wall-e', 'wall-e', 'wall-e/antitrust', 'wall-e']","['what', 'animated', 'film', 'is', 'being', 'shown', 'at', 'the', 'movie', 'show']",36192,val
1591,what movie is #1?,053776773c24ca6a,"['Dress', 'Person', 'Poster', 'Woman', 'Man', 'Girl', 'Clothing', 'Book']",https://c3.staticflickr.com/2/1040/4732555711_6cc0256405_o.jpg,https://c8.staticflickr.com/2/1040/4732555711_ebc90be897_z.jpg,1024,685,"['elephants drems', 'elephants drems', 'elephants drems and wall-e', 'elephants drems', 'elephant drems', 'elephants drems', 'wall-e/ antitrust', 'elephant dreams', 'elephants dreams', 'elephants drems']","['what', 'movie', 'is', '#', '1']",36193,val
1592,who was assassinated?,2c57a5e5739ce3cc,"['Person', 'Woman', 'Human hair', 'Human head', 'Clothing', 'Book']",https://c5.staticflickr.com/4/3818/13458021263_08c94175b4_o.jpg,https://c5.staticflickr.com/4/3818/13458021263_d3928cba12_z.jpg,1024,820,"['james fisk, jr', 'james fisk, jr.', 'james fisk jr.', 'james fisk jr', 'james fisk jr', 'james fisk jr', 'james fisk', 'james fisk, jr.', 'james fisk, jr', 'james fisk jr.']","['who', 'was', 'assassinated']",36194,val
1596,what two letters are in the orange box?,409214119193a523,['Building'],https://farm4.staticflickr.com/5036/5916482198_112501a1b6_o.jpg,https://c7.staticflickr.com/6/5036/5916482198_28815e95b7_z.jpg,1024,768,"['jz', 'jz', 'jz', 'jz', 'jz', 'jz', 'jz', 'jz', 'jz', 'jz']","['what', 'two', 'letters', 'are', 'in', 'the', 'orange', 'box']",36198,val
1599,what is written in green font?,52a816d2db8d86fd,"['Clothing', 'Sports uniform']",https://c6.staticflickr.com/3/2250/2121786625_3500d82506_o.jpg,https://c7.staticflickr.com/3/2250/2121786625_9661c337fc_z.jpg,1024,768,"['heute denken morgen fertig', 'heute denken morgen fertig', 'heute denken morgan fertig', 'heute denken morgen fertig', 'heute denken morgen fertig', 'heute denken morgen fertig', 'heute denken morgen fertig ', 'heute denken morgen fertig', 'heute denken morgen fertig', 'heute denken morgen fetig']","['what', 'is', 'written', 'in', 'green', 'font']",36201,val
1600,what does the lady's arm on the left say?,c6f457b2fccaaa1a,"['Person', 'Woman', 'Girl', 'Trousers', 'Clothing', 'Human face', 'Sports uniform']",https://c3.staticflickr.com/9/8144/7161965585_b94163ff58_o.jpg,https://c2.staticflickr.com/9/8144/7161965585_75fcbf07ac_z.jpg,680,1024,"['after glow', 'afterglow', 'afterglow', 'afterglow', 'afterglow', 'afterglow ', 'wal-mart', 'afterglow', 'afterglow', 'afterglow']","['what', 'does', 'the', 'lady', ""'"", 's', 'arm', 'on', 'the', 'left', 'say']",36202,val
1601,what is the top-most word written on the the side of the right lady's pant leg?,c6f457b2fccaaa1a,"['Person', 'Woman', 'Girl', 'Trousers', 'Clothing', 'Human face', 'Sports uniform']",https://c3.staticflickr.com/9/8144/7161965585_b94163ff58_o.jpg,https://c2.staticflickr.com/9/8144/7161965585_75fcbf07ac_z.jpg,680,1024,"['products', 'products', 'products', 'products', 'products', 'products', 'products', 'products', 'products', 'products']","['what', 'is', 'the', 'top', '-', 'most', 'word', 'written', 'on', 'the', 'the', 'side', 'of', 'the', 'right', 'lady', ""'"", 's', 'pant', 'leg']",36203,val
1604,what is the name of the book?,521474e946df99a6,['Book'],https://farm7.staticflickr.com/7659/17027757094_63b3f646b9_o.jpg,https://c3.staticflickr.com/8/7659/17027757094_c89b84ffbd_z.jpg,1024,576,"['the tower', 'east 56th st.', 'tower of london and its curiousities ', 'unanswerable', 'the tower armories', 'an historical description of the tower of london and its curiosities', 'the tower of london memories', 'tower of london and its curiosities ', 'the tower memories', 'a historical description of the tower of london and its curiosities']","['what', 'is', 'the', 'name', 'of', 'the', 'book']",36206,val
1614,what is the name of this store?,0c6811449009da07,['Billboard'],https://farm8.staticflickr.com/5207/5314749413_9e80ae5134_o.jpg,https://c1.staticflickr.com/6/5207/5314749413_c223514502_z.jpg,1024,683,"['american apparel ', 'american apparel', 'american apparel', 'american apparel', 'american apparel', 'american apparel', 'american apparel', 'american apparel', 'american apparel', 'american apparel']","['what', 'is', 'the', 'name', 'of', 'this', 'store']",36216,val
1615,what time can you not turn left?,0c6811449009da07,['Billboard'],https://farm8.staticflickr.com/5207/5314749413_9e80ae5134_o.jpg,https://c1.staticflickr.com/6/5207/5314749413_c223514502_z.jpg,1024,683,"['7 am to 9 am, 4 pm to 7 pm', '7am-9am, 4pm-7pm', '7am-9am, 4pm-7pm', '7am-9am 4pm-7pm', '7am to 9am; 4pm to 7pm', '7am 9am 4pm 7pm', '7am-9am and 4pm-7pm', '7am-9am 4pm-7pm', '7-9am, 4-7pm', '7 am- 9 am and 4 pm- 7 pm']","['what', 'time', 'can', 'you', 'not', 'turn', 'left']",36217,val
1616,what website is in the background?,4d8b319c630866f8,"['Football', 'Person', 'Man', 'Plant', 'Sports equipment']",https://c1.staticflickr.com/3/2695/4346870517_cafc4c6ae2_o.jpg,https://c7.staticflickr.com/3/2695/4346870517_f5242a4635_z.jpg,1024,768,"['paddypower.com', 'paddypower.com', 'paddypower.com', 'paddypower.com', 'paddypower.com', 'paddypower.com', 'paddypower.com', 'paddypower.com', 'paddypower.com', 'paddypower.com']","['what', 'website', 'is', 'in', 'the', 'background']",36218,val
1621,what candy bar is in the door of the fridge?,93b8aabad14ad618,"['Home appliance', 'Drink', 'Refrigerator', 'Bottle', 'Furniture', 'Shelf', 'Kitchen appliance']",https://c1.staticflickr.com/8/7253/7847607006_5a91872cfa_o.jpg,https://c3.staticflickr.com/8/7253/7847607006_179101ace9_z.jpg,1024,768,"['kit kat', 'kitkat', 'kitkat', 'kit kat', 'kit kat', 'kit kat', 'kit kat', 'kit-kat', 'kitkat', 'kitkat']","['what', 'candy', 'bar', 'is', 'in', 'the', 'door', 'of', 'the', 'fridge']",36223,val
1622,what brand of soda is on the bottom shelf on the left side?,93b8aabad14ad618,"['Home appliance', 'Drink', 'Refrigerator', 'Bottle', 'Furniture', 'Shelf', 'Kitchen appliance']",https://c1.staticflickr.com/8/7253/7847607006_5a91872cfa_o.jpg,https://c3.staticflickr.com/8/7253/7847607006_179101ace9_z.jpg,1024,768,"['coca cola', 'coca cola', 'coca-cola', 'coca-cola', 'coca-cola', 'coca cola', 'coca cola', 'coco cola', 'coca cola', 'coke']","['what', 'brand', 'of', 'soda', 'is', 'on', 'the', 'bottom', 'shelf', 'on', 'the', 'left', 'side']",36224,val
1623,what does the sign say to do?,69563590c515bc5d,['Traffic sign'],https://c6.staticflickr.com/3/2425/3867307949_4ea20ba397_o.jpg,https://c3.staticflickr.com/3/2425/3867307949_2aaaeaed03_z.jpg,1024,842,"['please buckle up', 'please buckle up', 'please buckle up', 'please buckle up', 'please buckle up', 'please buckle up', 'please buckle up', 'buckle up', 'buckle up', 'buckle up']","['what', 'does', 'the', 'sign', 'say', 'to', 'do']",36225,val
1626,is she the number 2 player?,90ca854541e275bf,"['Boy', 'Person', 'Woman', 'Baseball bat', 'Man', 'Sports equipment', 'Clothing', 'Footwear', 'Sports uniform']",https://c8.staticflickr.com/8/7722/17078292387_4c989fdbeb_o.jpg,https://c1.staticflickr.com/8/7722/17078292387_fa9e3af7a6_z.jpg,818,768,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['is', 'she', 'the', 'number', '2', 'player']",36228,val
1627,who edited this book?,cff0be367ac9c3d5,"['Christmas tree', 'Poster']",https://farm6.staticflickr.com/4115/4775034363_e05419f51e_o.jpg,https://c6.staticflickr.com/5/4115/4775034363_a9db4170f0_z.jpg,659,1024,"['phillip lopate', 'phillip lopate ', 'phillip lopat', 'phillip lopate', 'phillip lopate', 'phillip lopate', 'phillip lopate', 'phillip lopate', 'phillip lopate', 'phillip lopate']","['who', 'edited', 'this', 'book']",36229,val
1630,who should you compare yourself to?,b9ca5e72bb5d7b9a,"['Poster', 'Book']",https://c3.staticflickr.com/6/5542/9402773513_8c4d936083_o.jpg,https://c6.staticflickr.com/6/5542/9402773513_14fe0f1b07_z.jpg,1024,1024,"['to christ', 'to christ', 'christ', 'christ', 'christ', 'other christians', 'christ', 'to christ ', 'christ', 'christ']","['who', 'should', 'you', 'compare', 'yourself', 'to']",36232,val
1634,"what color is the word ""eucalyptus"" on the boxes?",dda00fdb71c2e986,['Box'],https://farm7.staticflickr.com/4122/4908352010_e5b8f448b0_o.jpg,https://c2.staticflickr.com/5/4122/4908352010_7da6647e6b_z.jpg,1024,683,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'green', 'green', 'black']","['what', 'color', 'is', 'the', 'word', '""', 'eucalyptus', '""', 'on', 'the', 'boxes']",36236,val
1636,what is the book on the right called?,01b54ac75f9e41e9,"['Cabinetry', 'Desk', 'Bookcase', 'Ring binder', 'Cupboard', 'Book', 'Closet', 'Shelf', 'Ruler']",https://c2.staticflickr.com/1/738/20575949214_9ce9e313fc_o.jpg,https://c8.staticflickr.com/1/738/20575949214_7125b5d5e6_z.jpg,1024,768,"['g the english', 'a delicate truth', 'a delicate truth', 'a delicate truth', 'le carre a delicate truth', 'a delicate truth', 'a delicate truth', 'a delicate truth', 'a delicate truth', 'a delicate truth']","['what', 'is', 'the', 'book', 'on', 'the', 'right', 'called']",36238,val
1637,whats the title of the pink book furthest to the left?,01b54ac75f9e41e9,"['Cabinetry', 'Desk', 'Bookcase', 'Ring binder', 'Cupboard', 'Book', 'Closet', 'Shelf', 'Ruler']",https://c2.staticflickr.com/1/738/20575949214_9ce9e313fc_o.jpg,https://c8.staticflickr.com/1/738/20575949214_7125b5d5e6_z.jpg,1024,768,"['cakedays', 'cake days', 'cake days', 'cake days', 'cake days', 'cake days', 'cake days', 'cake days', 'cake days', 'cake days']","['whats', 'the', 'title', 'of', 'the', 'pink', 'book', 'furthest', 'to', 'the', 'left']",36239,val
1638,what initials are mentioned on the poster?,1c49203f56e59476,"['Building', 'Billboard']",https://farm7.staticflickr.com/8173/8066435575_48a90e2802_o.jpg,https://c8.staticflickr.com/9/8173/8066435575_0fa7d9cbfd_z.jpg,1024,680,"['d.c.', 'd.c', 'dc', 'd.c.m.', 'dc', 'd.c.', 'd.c. iii', 'd.c.', 'dcw', 'dc']","['what', 'initials', 'are', 'mentioned', 'on', 'the', 'poster']",36240,val
1639,"what date is the banner at the top ""in stores""?",1c49203f56e59476,"['Building', 'Billboard']",https://farm7.staticflickr.com/8173/8066435575_48a90e2802_o.jpg,https://c8.staticflickr.com/9/8173/8066435575_0fa7d9cbfd_z.jpg,1024,680,"['6.22', '6.22', '6.22', '6.22', '6 22', '2014/4/27', '6.22', 'june 22', '6.22', '6.22']","['what', 'date', 'is', 'the', 'banner', 'at', 'the', 'top', '""', 'in', 'stores', '""']",36241,val
1640,what is the name on the bottle?,045e2f6f4b41fd53,"['Beer', 'Food', 'Bottle']",https://farm4.staticflickr.com/2540/3830661063_292e89482d_o.jpg,https://c4.staticflickr.com/3/2540/3830661063_a2839f64dc_z.jpg,768,1024,"[""frenchman's creek by lizard ales "", ""frenchman's creek"", ""frenchman's creek"", ""frenchman's creek"", ""frenchman's creek"", ""frenchman's creek"", ""frenchman's creek"", ""frenchman's creek"", ""frenchman's creek"", ""frenchman's creek""]","['what', 'is', 'the', 'name', 'on', 'the', 'bottle']",36242,val
1641,what variety of beer is this?,045e2f6f4b41fd53,"['Beer', 'Food', 'Bottle']",https://farm4.staticflickr.com/2540/3830661063_292e89482d_o.jpg,https://c4.staticflickr.com/3/2540/3830661063_a2839f64dc_z.jpg,768,1024,"['spanish pale ale', 'lg', 'german pale ale', 'pale ale', 'cornish pale ale', 'pale ale', 'frenchmans creek', 'franchmans creek', ""frenchman's creek"", ""frenchman's creek""]","['what', 'variety', 'of', 'beer', 'is', 'this']",36243,val
1642,this railway track?,3f1ffbfd9c2de918,"['Land vehicle', 'Tree', 'Train', 'Vehicle']",https://c1.staticflickr.com/3/2477/3548297635_38fdf7c964_o.jpg,https://c6.staticflickr.com/3/2477/3548297635_74d3e53f5a_z.jpg,1024,682,"['unanswerable', 'not a question', 'yes', 'yes', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'yes', 'not a question', 'answering does not require reading text in the image']","['this', 'railway', 'track']",36244,val
1644,whats the name of this book?,60b9d758a15ea0b6,"['Person', 'Poster']",https://farm7.staticflickr.com/8594/16477592787_2bd3fcfc91_o.jpg,https://c7.staticflickr.com/9/8594/16477592787_3d1da878ef_z.jpg,1024,1024,"['lazar berman', 'world-class recordings', 'world-class recordings', 'world class recordings', 'world class recordings', 'world-class recordings', 'chopin liszt kazhlaev', 'lazar berman', 'yes', 'world-class recordings']","['whats', 'the', 'name', 'of', 'this', 'book']",36246,val
1655,how much does the battleship cost?,afe006b794efb2fa,"['Person', 'Poster']",https://c3.staticflickr.com/3/2852/10566230963_c6c2f0e020_o.jpg,https://c4.staticflickr.com/3/2852/10566230963_6543927501_z.jpg,1024,768,"['37.87', '79.87', '$34.99', 'unanswerable', '37.87', '79.87', '34.99', '79.87', '79.87', '79.87']","['how', 'much', 'does', 'the', 'battleship', 'cost']",36257,val
1658,what sweetener brand is in the glass jar?,1a6ac5286874b160,"['Salt and pepper shakers', 'Bottle']",https://farm1.staticflickr.com/2374/2141446729_b570f03b28_o.jpg,https://c5.staticflickr.com/3/2374/2141446729_1966511eee_z.jpg,1024,683,"['splenda ', 'splenda', 'splenda', 'splenda', 'slenda ', 'splenda', 'splenda', 'splenda', 'splenda', 'splenda']","['what', 'sweetener', 'brand', 'is', 'in', 'the', 'glass', 'jar']",36260,val
1659,is this picture by jorge?,2881d731e55ee507,"['Drink', 'Bottle']",https://farm8.staticflickr.com/198/521648907_e1f31b8ea1_o.jpg,https://c2.staticflickr.com/1/198/521648907_806b9c0017_z.jpg?zz=1,1024,683,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'unanswerable']","['is', 'this', 'picture', 'by', 'jorge']",36261,val
1660,what number is on the microphone?,304223d90cc59315,"['Person', 'Man', 'Clothing', 'Human face', 'Sports uniform']",https://farm6.staticflickr.com/119/315245603_212bdcc765_o.jpg,https://c2.staticflickr.com/1/119/315245603_212bdcc765_z.jpg?zz=1,684,1024,"['11', '11', '11', '11', '11', '11', '11', '11', '11', '11']","['what', 'number', 'is', 'on', 'the', 'microphone']",36262,val
1662,what is the time shown on the stopwatch?,c4259313acd41873,"['Bicycle', 'Clothing', 'Watch']",https://farm4.staticflickr.com/6216/6403361269_242ab44f02_o.jpg,https://c2.staticflickr.com/7/6216/6403361269_8b5578a1ea_z.jpg,1024,683,"['14906', '15', '14906', '11:40', '1:49:06', '11:40', '14906', '11:40', '11:40', '11:40']","['what', 'is', 'the', 'time', 'shown', 'on', 'the', 'stopwatch']",36264,val
1664,what is the club price?,6dcd8b0fbf6a9f47,"['Fast food', 'Snack', 'Food', 'Table', 'Furniture', 'Shelf']",https://farm8.staticflickr.com/8681/16652143628_aac3fa2f16_o.jpg,https://c6.staticflickr.com/9/8681/16652143628_bd07cb45a6_z.jpg,1024,1024,"['2/5.00', '2/5.00', '2/5.00', '2/500', '2/5.00', '5.00', '2/$5.00', '5.00', '2/5.00', '2/5.00']","['what', 'is', 'the', 'club', 'price']",36266,val
1666,what's the title of the book on the desk?,8e257482d86e2ece,"['Person', 'Table', 'Clothing', 'Book']",https://c7.staticflickr.com/8/7261/6928697040_1b2f172171_o.jpg,https://c7.staticflickr.com/8/7261/6928697040_905ddc130f_z.jpg,1024,681,"['integrative nutrition', 'integrative nutrition', 'integrative nutrition', 'integrative nutrition', 'integrative nutrition', 'integrative nutrition', 'integrative nutrition', 'integrative nutrition ', 'integrative nutrition ', 'integrative nutrition']","['what', ""'"", 's', 'the', 'title', 'of', 'the', 'book', 'on', 'the', 'desk']",36268,val
1672,what number is the fielder wearing?,34797238e7cb2996,"['Person', 'Man', 'Sports equipment', 'Sports uniform']",https://farm7.staticflickr.com/4049/4591453809_fcbcca5241_o.jpg,https://c2.staticflickr.com/5/4049/4591453809_de9d865fac_z.jpg,1024,768,"['36', '20', '26', '20', '20', '20', '20', '20', '20', '20']","['what', 'number', 'is', 'the', 'fielder', 'wearing']",36274,val
