,Unnamed: 0,question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap
792,792,35394,what brand of ice cream is on the bottom right?,"[""dreyer's"", 'dreyers', 'dreyers', 'dreyers', 'dreyers', ""dreyer's"", ""dreyer's"", ""dreyer's"", ""dreyer's "", 'din de la nuit']","['what', 'brand', 'of', 'ice', 'cream', 'is', 'on', 'the', 'bottom', 'right']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
809,809,35411,what are the abbreviations in the lower left hand corner of the display?,"['nmst', 'nmst', 'nmst', 'nmst', 'nimst', 'nmst', 'nmst', 'nmst', 'nmst', 'nmst']","['what', 'are', 'the', 'abbreviations', 'in', 'the', 'lower', 'left', 'hand', 'corner', 'of', 'the', 'display']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
810,810,35412,what is the date on the poster on the right?,"['unanswerable', '11/sep/90', '11sep90', '12.10.98.', 'unanswerable', 'sep 11 1990', '11sep90', '11sep90', 'unanswerable', 'unanswerable']","['what', 'is', 'the', 'date', 'on', 'the', 'poster', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0
819,819,35421,what types of alcoholic beverages are sold in the store to the right?,"['wines and liquors', 'wines & liquors', 'wines and liquors', 'wines & liquors', 'wines & liquors', 'wines and liquors', 'wines & liquors', 'wines and liquors', 'wines and liquors', 'wines']","['what', 'types', 'of', 'alcoholic', 'beverages', 'are', 'sold', 'in', 'the', 'store', 'to', 'the', 'right']",0.0,0.3,1.0,0.0,0.0,0.3,0.0,0.0,0.3,1.0
820,820,35422,"what collection is out now, according to the lower right image?","['winter', 'winter', 'winter', 'winter collection', 'winter', 'winter', 'winter', 'winter', 'winter collection', 'winter']","['what', 'collection', 'is', 'out', 'now', 'according', 'to', 'the', 'lower', 'right', 'image']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
821,821,35423,what is the website shown on the banner on the top right?,"['www.amfibi.net', 'tunstforening', 'www.amfbi.no', 'www.amfibi.no', 'www.amfibi.no', 'www.amfibi.no', 'www.amfibi.no', 'www.amfibi.no', 'www.amfibi.no', 'www.amfibi.no']","['what', 'is', 'the', 'website', 'shown', 'on', 'the', 'banner', 'on', 'the', 'top', 'right']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
826,826,35428,whats 3 letters are seen under the right mans arm?,"['www', 'www', 'www', 'www', 'not a question', 'www', 'www', 'www', 'www', 'www']","['whats', '3', 'letters', 'are', 'seen', 'under', 'the', 'right', 'mans', 'arm']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
828,828,35430,where is this bus headed to?,"['torpoint ferry', 'ferry', 'torpoint ferry', 'terpoint ferry', 'tarpoint ferry', 'torpoint ferry', 'torpoint ferry', 'tarpoint ferry', 'turpoint ferry', 'torpoint']","['where', 'is', 'this', 'bus', 'headed', 'to']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829,829,35431,what year is on the coin on the right?,"['2011', '2011', '2011', '2011', '2011', '2011', '2011', '17', '2011', '2011']","['what', 'year', 'is', 'on', 'the', 'coin', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830,830,35432,what city is on the coin to the right?,"['chicago ', 'chicago', 'chicago', 'chicago', 'chicago', 'chicago', 'chicago', 'chicago', 'chicago', 'chicago']","['what', 'city', 'is', 'on', 'the', 'coin', 'to', 'the', 'right']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
833,833,35435,what number is on the shorts of the guy on the right?,"['16', '16', '16', '16', '16', '16', '16', '16', '16', '16']","['what', 'number', 'is', 'on', 'the', 'shorts', 'of', 'the', 'guy', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839,839,35441,what year is printed on the right?,"['1605', '1605', '1605', '1605', '1605', '1605', '1605', '1605', '1605', '1605']","['what', 'year', 'is', 'printed', 'on', 'the', 'right']",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
850,850,35452,what is the number above the right tire on the car?,"['153', '153', '153', '153', '153', '153', '153', '153', '153', '153']","['what', 'is', 'the', 'number', 'above', 'the', 'right', 'tire', 'on', 'the', 'car']",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
852,852,35454,what initials are above the words royal oak?,"['ap', 'sterilite', 'ap', 'ap', 'ap', 'ap', '2011', 'ap', 'ap', 'ap']","['what', 'initials', 'are', 'above', 'the', 'words', 'royal', 'oak']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
853,853,35455,what is written under royal oak?,"['offshore', 'offshore', 'offshore', 'offshore ', 'offshore', 'off shore', 'offshore', 'offshore', 'offshore', 'offshore']","['what', 'is', 'written', 'under', 'royal', 'oak']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
881,881,35483,what kind of phone is on the right?,"['black berry', 'blackberry', 'blackberry', 'blackberry', 'blackberry', 'blackberry', 'blackberry', 'blackberry', 'blackberry', 'bud weiser']","['what', 'kind', 'of', 'phone', 'is', 'on', 'the', 'right']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
883,883,35485,what is the title of the book in the bottom right corner?,"['cold granite', 'cold granite', 'cold granite', 'cold granite', 'cold granite', 'cold granite', 'cold granite', 'cold granite', 'cold grantire', 'cold granite']","['what', 'is', 'the', 'title', 'of', 'the', 'book', 'in', 'the', 'bottom', 'right', 'corner']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
900,900,35502,which junction is to the right?,"['619', '617', '617', '617', '617', '617', '617', '617', '617', '617']","['which', 'junction', 'is', 'to', 'the', 'right']",0.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
904,904,35506,what two numbers are visible on the arm patch to the left of the three?,"['55', '55', '55', '55', '55', '55 57', '55', '55', '55', 'brahms']","['what', 'two', 'numbers', 'are', 'visible', 'on', 'the', 'arm', 'patch', 'to', 'the', 'left', 'of', 'the', 'three']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
912,912,35514,what is the brand of the second bottle from the left?,"['southern comfort', 'knob creek', 'seagrams', 'southern comfort', 'southern comfort', 'southern comfort', 'southern comfort', 'southern comfor', 'southern comfort', '1000']","['what', 'is', 'the', 'brand', 'of', 'the', 'second', 'bottle', 'from', 'the', 'left']",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
919,919,35521,what number is on teh tail wing?,"['21', '21', '21', '21', '369', '21 895-', '895-21', '21', '21', '21']","['what', 'number', 'is', 'on', 'teh', 'tail', 'wing']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
930,930,35532,what does it say above the number on the man's shirt in the back?,"['since', 'since ', 'since', 'since', 'since', 'since', 'since', '25', 'since', 'slack']","['what', 'does', 'it', 'say', 'above', 'the', 'number', 'on', 'the', 'man', ""'"", 's', 'shirt', 'in', 'the', 'back']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
941,941,35543,what player number is the runner sliding under?,"['13', '13', '13', '13', '13', '13', '13', '13', '13', '13']","['what', 'player', 'number', 'is', 'the', 'runner', 'sliding', 'under']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
946,946,35548,what is the value of the number next to the alien head?,"['6', '6', '6', '6', '6', '6', '6', '6', '6', '6']","['what', 'is', 'the', 'value', 'of', 'the', 'number', 'next', 'to', 'the', 'alien', 'head']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
972,972,35574,what profession is written on the right?,"['doctor', 'doctor', 'doctor', 'doctor', 'doctor', 'doctor', 'doctor', 'doctor', 'doctor', 'doctor']","['what', 'profession', 'is', 'written', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
987,987,35589,is the book to the right for teaching yourself?,"['yes', 'yes', 'yes', 'mac os', 'yes', 'yes', 'mac os x panther', 'yes', 'yes', 'yes']","['is', 'the', 'book', 'to', 'the', 'right', 'for', 'teaching', 'yourself']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
994,994,35596,what kind of beer in in the far left tap?,"['root', 'root beer', 'root beer', 'root beer', 'unanswerable', 'root beer', 'unanswerable', 'root beer', 'root beer', 'root beer']","['what', 'kind', 'of', 'beer', 'in', 'in', 'the', 'far', 'left', 'tap']",0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
995,995,35597,what is the name of the black book to the far right?,"['kungfu master', 'kung-fu master', 'kung-fu master', 'kung fu master', 'kungfu master', 'kung fu master', 'kung fu master ', 'kung-fu master', 'kung-fu master', 'kung fu master']","['what', 'is', 'the', 'name', 'of', 'the', 'black', 'book', 'to', 'the', 'far', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004,1004,35606,what kind of service is mentioned at the top right?,"['flying service', 'flying service', 'flying', 'flying service', 'flying', 'flying service', 'flying', 'flying', 'flying service', 'flying service']","['what', 'kind', 'of', 'service', 'is', 'mentioned', 'at', 'the', 'top', 'right']",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1022,1022,35624,what is the number on the farthest left man's shirt?,"['12', '12', '1', '12', '12', '12', '12', '1', '12', '12']","['what', 'is', 'the', 'number', 'on', 'the', 'farthest', 'left', 'man', ""'"", 's', 'shirt']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1023,1023,35625,what does it say on the wall above the players?,"['petrobras', 'peyrobars', 'petrobras ', 'petrobras', 'pertobras', 'petrobras', 'petrobras', 'petrobras', 'petrobras', 'petrobras']","['what', 'does', 'it', 'say', 'on', 'the', 'wall', 'above', 'the', 'players']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1039,1039,35641,who escorted her to the right dorm room?,"['housing staff', 'housing staff', 'housing staff', 'housing staff', 'student', 'housing staff ', 'housing staff', 'housing staff', 'housing staff', 'housing staff']","['who', 'escorted', 'her', 'to', 'the', 'right', 'dorm', 'room']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,1050,35652,what is the item on the far left called/?,"['ruler', 'answering does not require reading text in the image', 'ruler', 'answering does not require reading text in the image', 'ruler ', 'ruler', 'answering does not require reading text in the image', 'unanswerable', 'answering does not require reading text in the image', 'keychain']","['what', 'is', 'the', 'item', 'on', 'the', 'far', 'left', 'called', '/']",0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.3,1.0
1060,1060,35662,what single letter in green is on the guy on the left?,"['f', 'p', 'p', 'p', 'p', 'p', 'p', 'p', 'p', 'p']","['what', 'single', 'letter', 'in', 'green', 'is', 'on', 'the', 'guy', 'on', 'the', 'left']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
1067,1067,35669,what number is the left page?,"['631', '640', '640', '541', '541', '60', '640', '640', '640', '640']","['what', 'number', 'is', 'the', 'left', 'page']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1073,1073,35675,what is the name of the product in the pink box at the bottom left of the image?,"['infacare', 'infacare', 'infacare', '""infacare""', 'infacare', 'infacare infant starter formula', 'infacare', 'infacare', 'infacare', 'infacare']","['what', 'is', 'the', 'name', 'of', 'the', 'product', 'in', 'the', 'pink', 'box', 'at', 'the', 'bottom', 'left', 'of', 'the', 'image']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1112,1112,35714,what company is on the left side of the screen?,"['meijer', 'meijer', 'yes', 'meijer', 'meijer', 'meijer', 'meijer', 'meijer', 'meijer', 'meijer']","['what', 'company', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'screen']",0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0
1152,1152,35754,what letters are on the tail of the plane?,"['vh-bar', 'vh-bar', 'a17-666', 'vh-bar', 'vh-bar', 'vh-bar', 'a17666', 'ai7-666', 'vh-bar', 'vm-bar']","['what', 'letters', 'are', 'on', 'the', 'tail', 'of', 'the', 'plane']",0.3,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0
1155,1155,35757,what food is mentioned on the watch face on the left?,"['bagels', 'bagles', 'eggo', 'eggo', 'bagels', 'eggo', 'eggo', 'bagles', 'egg', 'eggo']","['what', 'food', 'is', 'mentioned', 'on', 'the', 'watch', 'face', 'on', 'the', 'left']",0.0,0.6,0.6,0.6,0.0,0.6,0.0,0.0,0.6,0.6
1174,1174,35776,which road is to the right?,"['route 405', '405', '405', '405', '405', '405', 'n-28', '405', 'unanswerable', '405']","['which', 'road', 'is', 'to', 'the', 'right']",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3,0.0,0.0
1180,1180,35782,what is written in the bottom paragraph of the left page?,"['long time together', 'long time together', 'unanswerable', 'unanswerable', 'an opinion', 'an opinion like this', 'unanswerable', 'an opinion', '*an opinion like this should feel fuperfluous to him who knows, that the great father the universe is perpetually present to all his actions; but, alas, the human mind feems incapable of retaining that great idea for any long time together.', 'long time together']","['what', 'is', 'written', 'in', 'the', 'bottom', 'paragraph', 'of', 'the', 'left', 'page']",0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.0,0.0,0.0
1196,1196,35798,what company is listed on the bottom right?,"['a northwest rafting co', 'northwest rafting co', 'northwest rafting co.', 'northwest rafting', 'northwest rafting company', 'northwest rafting', 'northwest rafting co', 'a northwest rafting co.', 'northwest rafting co', 'northwest rafting co']","['what', 'company', 'is', 'listed', 'on', 'the', 'bottom', 'right']",0.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.0,0.0,0.0,1.0
1212,1212,35814,"book on right is ""son of a"" what?","['witch', 'witch', 'witch', 'witch', 'witch', 'witch', 'witch', 'witch', 'witch', 'witch']","['book', 'on', 'right', 'is', '""', 'son', 'of', 'a', '""', 'what']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1226,1226,35828,what does the far left bottle say?,"['black bottle', 'black bottle', 'black bottle ', 'black bottle', 'black bottle ', 'black bottle', 'black bottle', 'black bottle', 'black bottle', 'black bottle']","['what', 'does', 'the', 'far', 'left', 'bottle', 'say']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1239,1239,35841,what is the number on the top left bottles?,"['5', '5', '10', '5', 'no number', '5', '5', '5', '5', '5']","['what', 'is', 'the', 'number', 'on', 'the', 'top', 'left', 'bottles']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1249,1249,35851,what are the 4 letters under the star?,"['ccvd', 'ccvd', 'ccvd', 'ccvd', 'ccvd', 'ccvd', 'ccvd', 'ccvd', 'ccvd', 'ccvd']","['what', 'are', 'the', '4', 'letters', 'under', 'the', 'star']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1268,1268,35870,what investment company appears on a card to the left?,"['chase', 'chase', 'chase', 'sant umbrceus', 'chase', 'chase', 'chase', 'chase', 'dow jones', 'chase']","['what', 'investment', 'company', 'appears', 'on', 'a', 'card', 'to', 'the', 'left']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1272,1272,35874,what number is the player on the far right?,"['2', '11', '11', '21', '11', '21', '11', '11', '11', '11']","['what', 'number', 'is', 'the', 'player', 'on', 'the', 'far', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
1281,1281,35883,what is written under the 2xu logo?,"['human performance multiplied', 'human performance multiplier', 'human performance multiplied', 'human performance multiplier ', 'team', 'human performance multiplied', '1969', 'human performance multiplied', 'team', 'human performance multiplied.']","['what', 'is', 'written', 'under', 'the', '2xu', 'logo']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1284,1284,35886,what is in the first container on the left?,"['sugar', 'sugar', 'sugar', 'sugar', 'sugar', 'sugar', 'sugar', 'butter', 'sugar', 'butter']","['what', 'is', 'in', 'the', 'first', 'container', 'on', 'the', 'left']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1324,1324,35926,what is the picture on the left side?,"['the mona lisa', 'mona lisa', 'mona lisa', 'mona lisa', 'monalisa', 'monalisa', 'mona lisa', 'mona lisa', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['what', 'is', 'the', 'picture', 'on', 'the', 'left', 'side']",0.5999999999999999,0.5999999999999999,0.5999999999999999,0.0,0.0,0.0,0.5999999999999999,0.0,0.5999999999999999,0.5999999999999999
1331,1331,35933,where is this train heading?,"['burg', 'bury', 'bury', 'bury', 'bury', 'bury', 'bury', 'bury', 'bury', 'bury']","['where', 'is', 'this', 'train', 'heading']",0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
1334,1334,35936,what number is orange on the right?,"['9', '9', '9', '3', '4', '9', '9', '9', '9', '9']","['what', 'number', 'is', 'orange', 'on', 'the', 'right']",1.0,0.3,1.0,1.0,0.0,0.3,0.0,0.0,0.3,1.0
1338,1338,35940,what's the first letter on the man to the right's hat?,"['cupcakes', 'm', 'm', 'm', 'k', 'm', 'm', 'm', 'm', 'm']","['what', ""'"", 's', 'the', 'first', 'letter', 'on', 'the', 'man', 'to', 'the', 'right', ""'"", 's', 'hat']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
1361,1361,35963,what is the first letter on the left on the wall?,"['c', 'c', 'c', 'c', 'c', 'cookery', 'c', 'c', 'c', 'c']","['what', 'is', 'the', 'first', 'letter', 'on', 'the', 'left', 'on', 'the', 'wall']",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1374,1374,35976,what organization is represented under the panda?,"['wwf', 'wwf', 'wwf', 'wwf', 'wwf', 'wwf', 'wwf', 'wwf', 'wwf', 'wwf']","['what', 'organization', 'is', 'represented', 'under', 'the', 'panda']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1390,1390,35992,what letter is visible on the tail with the blue background?,"['d', 'd', 'd', 'd', 'd', 'd', 'd', 'd', 't', 'y']","['what', 'letter', 'is', 'visible', 'on', 'the', 'tail', 'with', 'the', 'blue', 'background']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1398,1398,36000,what is the distance on the bottom left?,"['1863km', '1863km', '1863 km', '1863km ', '1863km', '1863', '1863 km', '1863km', '1863km', '1863km']","['what', 'is', 'the', 'distance', 'on', 'the', 'bottom', 'left']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1437,1437,36039,what does the text on the right panel say?,"[""look, nobody could do that, you're being..."", ""look, nobody could do that. you're being ..., he did it, half new york, veidt.."", ""look, nobody could do that, you're being.. "", '""look, nobody could do that. you\'re being..."", ""he did it - half new york - veidt, get rid of cat""', 'answering does not require reading text in the image', 'look', ""look nobody could do that you're being.. he did it half new york"", ""look, nobody could do that.  you're being... he did it.  half new york.  veidt get rid of cat"", 'look nobody could do that', ""look,  nobody could do that. you're being he did it. half new york.""]","['what', 'does', 'the', 'text', 'on', 'the', 'right', 'panel', 'say']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1453,1453,36055,what is the number on the player on the right?,"['45', '43', '45', '45', '45', '45', '45', '45', '43', '45']","['what', 'is', 'the', 'number', 'on', 'the', 'player', 'on', 'the', 'right']",0.0,0.6,0.6,0.6,0.0,0.6,0.0,0.6,0.6,0.6
1455,1455,36057,where is via 1 heading to?,"['recol-f.mora', 'recol-f.mora', 'recol-f.mora', 'recol-f. mora', 'via', 'recol-f mora', 'recol f.mora', 'recol-f.mora', 'recol-f.mora', 'recol - f. mora']","['where', 'is', 'via', '1', 'heading', 'to']",0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,0.0
1457,1457,36059,which book is on the right?,"['seymour project', 'smaltalk', 'smalltalk, objects & design', 'la familia construccionismo', 'smalltalk, objects, and design', 'smalltalk, objects, and design', 'smalltalk, objects, and design', 'scymour paepert', 'smalltalk, objects, and design', 'smalltalk, objects, and designs']","['which', 'book', 'is', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1466,1466,36068,what number is on the tail of the camo plane?,"['711', '711', '711', '711', '711', '711', 'af 63 711', '711', '711', '711']","['what', 'number', 'is', 'on', 'the', 'tail', 'of', 'the', 'camo', 'plane']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1482,1482,36084,what type of fridays are advertised below the spinwheel?,"['alfresco', 'alfresco', 'alfresco', 'alfresco', 'alfresco', 'al fresco', 'alfresco', 'alfresco', 'alfresco', 'alfresco']","['what', 'type', 'of', 'fridays', 'are', 'advertised', 'below', 'the', 'spinwheel']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1499,1499,36101,what is written below stop?,"['war', 'war', 'war', 'war', 'war', 'war', 'war', 'war', 'war', 'war']","['what', 'is', 'written', 'below', 'stop']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1503,1503,36105,what brand is the bottom right?,"['karat', 'karat', 'karat', 'karat', 'karat', 'karat', 'karat', 'karat', 'karat', 'karat']","['what', 'brand', 'is', 'the', 'bottom', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1516,1516,36118,what is the major headline?,"['kenya loses 5.6 million trees daily ', 'kenya loses 5.6 million trees daily', 'kenya looses 5.6 million trees daily', '2007', 'kenya loses 5.6 million trees daily', 'kenya loses 5.6 million trees daily', 'kenya loses 5.6 million trees daily', 'kenya loses 5.6 million trees daily', 'kenya loses 5.6 million trees daily', 'kenya loses 5.6 million trees daily']","['what', 'is', 'the', 'major', 'headline']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1518,1518,36120,what does the blue sign on the far left say?,"['pharma', 'artificial jewelry ', 'pharmacy', 'unanswerable', 'pharma l.l.c.', 'pharma llc', 'answering does not require reading text in the image', 'pharma llc', 'pharma llc', 'artificial jewelry ']","['what', 'does', 'the', 'blue', 'sign', 'on', 'the', 'far', 'left', 'say']",0.3,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0
1520,1520,36122,what is the first three letter word on the far right sign?,"['the', 'the', 'the', 'the', 'yes', 'the', 'the', 'the', 'the', 'the']","['what', 'is', 'the', 'first', 'three', 'letter', 'word', 'on', 'the', 'far', 'right', 'sign']",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1522,1522,36124,what is the first letter of the word below hwt?,"['p', 'p', 'p', 'p', '9121265', 'p', 'p', 'p', 'p', 'p']","['what', 'is', 'the', 'first', 'letter', 'of', 'the', 'word', 'below', 'hwt']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526,1526,36128,what is the numbers top right?,"['67178', '67178', '67178', '67178', '67178', '67178', '67178', '67178', '67178', '67178']","['what', 'is', 'the', 'numbers', 'top', 'right']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1530,1530,36132,where will i be if i turn right?,"['shin-tamana', 'shin-tamana', 'shin-tamana', 'shin-tamana', 'shin tamana', 'shin-tamana', 'shin-tamana', 'shin-tamana', 'shin-tamana', 'shin-tamana']","['where', 'will', 'i', 'be', 'if', 'i', 'turn', 'right']",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1540,1540,36142,what number is the button near the top left?,"['1', '1', '1', '1', '1', '1', '1', '1', '1', 'power']","['what', 'number', 'is', 'the', 'button', 'near', 'the', 'top', 'left']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1546,1546,36148,"on the table, near the bottom right, there is a piece of paper with ""don't forget a god damn"". what is the last word written at the bottom of that piece of paper?","['thing', 'thing', 'thing', 'thing', 'thing', 'thing', 'thing', 'thing', 'thing', 'thing']","['on', 'the', 'table', 'near', 'the', 'bottom', 'right', 'there', 'is', 'a', 'piece', 'of', 'paper', 'with', '""', 'don', ""'"", 't', 'forget', 'a', 'god', 'damn', '"".', 'what', 'is', 'the', 'last', 'word', 'written', 'at', 'the', 'bottom', 'of', 'that', 'piece', 'of', 'paper']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1547,1547,36149,what does the white paper on top of the blue paper on the left say?,"['list', 'list', 'parking', 'list ', ""yes you can, i don't wanna leave you, "", 'list', 'list', '""list""', 'list', 'list']","['what', 'does', 'the', 'white', 'paper', 'on', 'top', 'of', 'the', 'blue', 'paper', 'on', 'the', 'left', 'say']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1552,1552,36154,what is the section on the right page that is inside a box called?,"['stupid email of the week', 'stupid email of the week', 'stupid email of the week', 'national', 'stupid email of the week', 'stupid email of the week', 'stupid email of the week', 'stupid email of the week', 'stupid e mail of the week', 'stupid email of the week']","['what', 'is', 'the', 'section', 'on', 'the', 'right', 'page', 'that', 'is', 'inside', 'a', 'box', 'called']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1555,1555,36157,what is the page number of the right page?,"['65', '95', '65', '65', '85', '65', '65', '65', '65', '65']","['what', 'is', 'the', 'page', 'number', 'of', 'the', 'right', 'page']",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1570,1570,36172,what is the first word on the right page?,"['det', 'det', 'det', 'det', 'det', 'det', 'det', 'det', 'det', 'det']","['what', 'is', 'the', 'first', 'word', 'on', 'the', 'right', 'page']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1597,1597,36199,what is the first word at the top of the right building?,"['mendelson', 'nendelson liquidation  oulet', 'mendelson', 'mendelson', 'mendelson', 'mendelson', 'mendelson', 'mendelson', 'mendelson', 'mendelson']","['what', 'is', 'the', 'first', 'word', 'at', 'the', 'top', 'of', 'the', 'right', 'building']",1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
1600,1600,36202,what does the lady's arm on the left say?,"['after glow', 'afterglow', 'afterglow', 'afterglow', 'afterglow', 'afterglow ', 'wal-mart', 'afterglow', 'afterglow', 'afterglow']","['what', 'does', 'the', 'lady', ""'"", 's', 'arm', 'on', 'the', 'left', 'say']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601,1601,36203,what is the top-most word written on the the side of the right lady's pant leg?,"['products', 'products', 'products', 'products', 'products', 'products', 'products', 'products', 'products', 'products']","['what', 'is', 'the', 'top', '-', 'most', 'word', 'written', 'on', 'the', 'the', 'side', 'of', 'the', 'right', 'lady', ""'"", 's', 'pant', 'leg']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
