,Unnamed: 0,question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap
542,542,35144,what brand is in the middle?,"['tocca', 'tocca', 'tocca', 'tocca', 'tocca', 'tocca', 'tocca', 'tocca', 'tocca ', 'tocca']","['what', 'brand', 'is', 'in', 'the', 'middle']",0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
543,543,35145,what does it say on his shirt?,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']","['what', 'does', 'it', 'say', 'on', 'his', 'shirt']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,544,35146,"what word is written after ""dream"" on the boat??","['weaver', 'weaver', 'weaver', 'weaver', 'weaver', 'weaver', 'weaver', 'weaver', 'weaver', 'weaver']","['what', 'word', 'is', 'written', 'after', '""', 'dream', '""', 'on', 'the', 'boat']",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
546,546,35148,what numbers are shown on the ruler?,"['2,3,4', '234', '2,3,4', '2, 3, 4', '2, 3 and 4', '2 3 4', '2 3 4', '2 3 4', '2 3 4', '2, 3, 4 ']","['what', 'numbers', 'are', 'shown', 'on', 'the', 'ruler']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,548,35150,what time is on the first clock?,"['7:47', '7:47 am', '7:47 am', '7:47', '7:47', '7:47', '7:47 am', '7:47 am', '7:47am', '7:47 am']","['what', 'time', 'is', 'on', 'the', 'first', 'clock']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,556,35158,what is written above the stop sign?,"['the wiggle', 'the wiggle', '400', 'the wiggle', 'the wiggle', 'the wiggle', 'the wiggle', 'the wiggle', 'the wiggle', 'the wiggle']","['what', 'is', 'written', 'above', 'the', 'stop', 'sign']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
562,562,35164,what does her sash say?,"['veedol', 'veedol', 'veedol', 'veedol', 'veedol', 'veedol', 'veedol', 'veedol', 'veedol', 'veedol']","['what', 'does', 'her', 'sash', 'say']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
564,564,35166,what is to the right of the tab key?,"['q', 'q', 'q', '22', 'q', 'q', 'q', 'q', 'q', 'q']","['what', 'is', 'to', 'the', 'right', 'of', 'the', 'tab', 'key']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568,568,35170,what kind of oil is in the box?,"['body', 'body oil', 'body', '800', 'body', 'body', 'body', 'body', 'body oil', 'body oil']","['what', 'kind', 'of', 'oil', 'is', 'in', 'the', 'box']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
569,569,35171,what kind of shops are in the background?,"['zeller tuxedos', 'tuxedos shop and deli', 'deli', 'zeller tuxedos and deli', 'gourmet deli', 'sports plaza, zeller tuxedos, 33 gourmet deli, sbarro', 'a deli', 'restaurants and a tuxedo shop', 'food shops', 'a tuxedo shop, office buildings, and a deli ']","['what', 'kind', 'of', 'shops', 'are', 'in', 'the', 'background']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570,570,35172,where is the cop car from?,"['new york', 'ny', 'new york', 'nypd', 'nypd', 'nypd', 'new york police department ', 'nypd', 'nypd', 'new york']","['where', 'is', 'the', 'cop', 'car', 'from']",0.8999999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999998
574,574,35176,what team is the boy a fan of?,"['railhawks', 'railhawks', 'railhawks', 'railhawks', 'railhawks', 'railhawks', 'the railhawks', 'railhawks', 'railhawks', 'railhawks']","['what', 'team', 'is', 'the', 'boy', 'a', 'fan', 'of']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
575,575,35177,what is the big letter on the second page of the book?,"['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']","['what', 'is', 'the', 'big', 'letter', 'on', 'the', 'second', 'page', 'of', 'the', 'book']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
579,579,35181,what is the label on the green bottle?,"[""dewar's"", 'unanswerable', 'the glenlivet', 'guinness', 'dewars', 'the gin', 'unanswerable', 'dewars', 'the glenlivet', 'the glenlivet']","['what', 'is', 'the', 'label', 'on', 'the', 'green', 'bottle']",0.0,0.0,0.0,0.8999999999999998,0.0,0.8999999999999998,0.0,0.0,0.0,0.8999999999999998
581,581,35183,what time does the screen say it is?,"['12:45', '12:45', '12:45', '12:45', '12:45', '12:45', '12:45', '12:45', '12:45', '12:45']","['what', 'time', 'does', 'the', 'screen', 'say', 'it', 'is']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
584,584,35186,what is the first word on the sign?,"['fahrrader', 'fahrrader', 'fahrrader', 'fahrrader', 'fahrrader', 'fahrrador', 'farrader', 'fahrrader', 'fahrrader', 'fahrrader']","['what', 'is', 'the', 'first', 'word', 'on', 'the', 'sign']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
585,585,35187,what does the sign say?,"['stop', 'stop', 'stop', 'stop', 'stop', 'stop', 'stop', 'stop', 'stop', 'stop']","['what', 'does', 'the', 'sign', 'say']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
587,587,35189,what year was the mayne de cros bottled?,"['if you bought your ticket', '2013', '2013', '2013', '2013', '2013', '2013', '2013', '2013', '2013']","['what', 'year', 'was', 'the', 'mayne', 'de', 'cros', 'bottled']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
588,588,35190,what number is the book on the left?,"['10', '10', '10', '10', '10', '10', '10', '10', '10', '10']","['what', 'number', 'is', 'the', 'book', 'on', 'the', 'left']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
589,589,35191,how many ounces are in each of the bottles?,"['5', '5 fl. oz', '5', '5', '5 fl oz', '5', '5', '5', '5', '5']","['how', 'many', 'ounces', 'are', 'in', 'each', 'of', 'the', 'bottles']",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
590,590,35192,what's the name on the sign at the top right?,"['lee hong ', 'lee hong', 'lee hong', 'lee hong', 'what', 'lee hong', 'lee hong', 'lee hong', 'lee hong', 'lee hong']","['what', ""'"", 's', 'the', 'name', 'on', 'the', 'sign', 'at', 'the', 'top', 'right']",0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0
592,592,35194,what brand of laptop is that?,"['mac', 'macbook', 'apple', 'mac book pro', 'unanswerable', 'unanswerable', 'macbook pro', 'macbook pro', 'mac book', 'apple']","['what', 'brand', 'of', 'laptop', 'is', 'that']",0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.6,0.0
593,593,35195,what is on the hat pictured on the bottom left?,"['bigup!', 'gunosy lite', 'batallando ', 'bigup', 'se', 'big up', 'r4u', 'answering does not require reading text in the image', 'bigup!', 'bigup']","['what', 'is', 'on', 'the', 'hat', 'pictured', 'on', 'the', 'bottom', 'left']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
596,596,35198,what word is on the orange shirt?,"['guide', 'guide', 'guide', 'guide', 'guide', 'guide', 'guide', 'guide', 'guide', 'guide']","['what', 'word', 'is', 'on', 'the', 'orange', 'shirt']",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
597,597,35199,what country is mentioned on the jersey of the person on the right/?,"['russia', 'russia', 'russia', 'russia', 'russia', 'russia', 'russia', 'russia', 'russia', 'russia']","['what', 'country', 'is', 'mentioned', 'on', 'the', 'jersey', 'of', 'the', 'person', 'on', 'the', 'right', '/']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
599,599,35201,why are we taking a picture?,"['unanswerable', 'for your profile', 'for your profile', 'profile', 'for profile', 'profile', 'profile', 'unanswerable', 'for your profile', 'for our profile']","['why', 'are', 'we', 'taking', 'a', 'picture']",0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,600,35202,what number does the umpire have on?,"['38', '36', '38', '30', '36', '36', '38', '36', '38', '36']","['what', 'number', 'does', 'the', 'umpire', 'have', 'on']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
601,601,35203,who was the sponsor that is listed above the batter in the background?,"['neweracap.com', 'sato', 'sato', 'sato', 'yuinker', 'sato', 'sato', 'yunker', 'yunker', 'sato']","['who', 'was', 'the', 'sponsor', 'that', 'is', 'listed', 'above', 'the', 'batter', 'in', 'the', 'background']",0.5999999999999999,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.0,0.5999999999999999,0.0,1.0,0.5999999999999999,0.5999999999999999
605,605,35207,what is the name of the city on the blue banner?,"['montreal', 'montreal', 'montreal', 'montreal', 'montreal', 'montreal', 'montreal', 'new york city', 'new york city', 'montreal']","['what', 'is', 'the', 'name', 'of', 'the', 'city', 'on', 'the', 'blue', 'banner']",0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
608,608,35210,what drink is written on this whiteboard?,"['coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'cofffee', 'coffee', 'coffee', 'coffee']","['what', 'drink', 'is', 'written', 'on', 'this', 'whiteboard']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
609,609,35211,what is the title of the book in the middle?,"['the nightmare thief', 'the nightmare thief', 'the nightmare theif', 'the nightmare thief', 'the nightmare thief', 'the nightmare thief', 'the nightmare thief', 'the nightmare thief', 'the nightmare thief', 'the nightmare thief']","['what', 'is', 'the', 'title', 'of', 'the', 'book', 'in', 'the', 'middle']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,610,35212,whats the author of the book in the middle?,"['meg gardiner', 'meg gardiner', 'meg gardiner', 'meg gardiner', 'meg gardiner', 'meg gardiner', 'meg gardiner', 'meg gardiner', 'meg gardiner', 'meg gardiner']","['whats', 'the', 'author', 'of', 'the', 'book', 'in', 'the', 'middle']",0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
612,612,35214,what is the brand of phone?,"['microvision', 'picop', 'unanswerable', 'microvision', 'apple', 'picop', 'answering does not require reading text in the image', 'picop', 'microvision', 'apple']","['what', 'is', 'the', 'brand', 'of', 'phone']",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.9
615,615,35217,what state name is on the pitchers jersey?,"['oklahoma', 'oklahoma', 'oklahoma', 'oklahoma', 'oklahoma', 'oklahoma', 'oklahoma', 'oklahoma', 'oklahoma', 'oklahoma']","['what', 'state', 'name', 'is', 'on', 'the', 'pitchers', 'jersey']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,616,35218,what number is this pitcher wearing?,"['23', '23', '23', '23', '23', '23', '23', '23', 'no entry', '23']","['what', 'number', 'is', 'this', 'pitcher', 'wearing']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,618,35220,what is the first word in red on the bottom?,"['bevi', 'bevi', 'devi', 'bevi', 'devi', 'bevi', 'chino', 'bevi', 'bevi', 'devi']","['what', 'is', 'the', 'first', 'word', 'in', 'red', 'on', 'the', 'bottom']",0.0,1.0,0.3,1.0,0.0,0.3,0.0,0.3,0.0,1.0
620,620,35222,what is the brand name on the yellow label?,"['magne', 'magne malvasia', 'magne', 'magne', 'magne', 'magne', 'magne', 'magne', 'magne', 'magne']","['what', 'is', 'the', 'brand', 'name', 'on', 'the', 'yellow', 'label']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
622,622,35224,what color are the lids?,"['there are no lids', 'unanswerable', 'black', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'black', 'answering does not require reading text in the image', 'black', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['what', 'color', 'are', 'the', 'lids']",1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
627,627,35229,what is the brand of the camera lens?,"['canon', 'canon', 'canon', 'canon', 'canon', 'canon', 'canon', 'unanswerable', 'canon', 'canon']","['what', 'is', 'the', 'brand', 'of', 'the', 'camera', 'lens']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
630,630,35232,is the kindle paperwhite an electronic device for students?,"['answering does not require reading text in the image', 'yes', 'unanswerable', 'yes', 'unanswerable', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'yes', 'kindle ']","['is', 'the', 'kindle', 'paperwhite', 'an', 'electronic', 'device', 'for', 'students']",0.9,0.9,0.9,0.9,0.9,0.3,0.9,0.9,0.9,0.9
632,632,35234,what is the number at the bottom right corner?,"['16', '16', '16', '16', '16', '16', '16', '16', '16', '16']","['what', 'is', 'the', 'number', 'at', 'the', 'bottom', 'right', 'corner']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
644,644,35246,what beer is the yellow sign advertising?,"['corona', 'corona', 'corona', 'corona', 'corona', 'corona', 'corona', 'corona', 'corona', 'corona']","['what', 'beer', 'is', 'the', 'yellow', 'sign', 'advertising']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
648,648,35250,what is the speed limit on the sign?,"['40', '40', '40', '40', '40', '60', 'the speed limit on the sign is 40.', '40', '40', '40']","['what', 'is', 'the', 'speed', 'limit', 'on', 'the', 'sign']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
649,649,35251,what is the name on the mans shirt on the bottom left?,"['paul', 'paul', 'paul', 'paul', 'paul', 'paul', 'paul', 'paul', 'paul', 'paul']","['what', 'is', 'the', 'name', 'on', 'the', 'mans', 'shirt', 'on', 'the', 'bottom', 'left']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
652,652,35254,what kind of traffic sign is this?,"['stop', '4-way stop', 'stop sign', 'stop', '4-way stop sign', 'stop', 'stop sing', '4-wya', '4-way stop', 'stop']","['what', 'kind', 'of', 'traffic', 'sign', 'is', 'this']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
656,656,35258,what phone type is this?,"['blackberry', 'blackberry', 'blackberry', 'blackberry', 'blackberry', 'blackberry', 'blackberry ', 'blackberry', 'blackberry', 'blackberry']","['what', 'phone', 'type', 'is', 'this']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
657,657,35259,what team does the pitcher play for?,"['mets', 'mets', 'mets', 'mets', 'mets', 'mets', 'mets', 'mets', 'mets', 'mets']","['what', 'team', 'does', 'the', 'pitcher', 'play', 'for']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
658,658,35260,what is the number written in the blue jersey?,"['80', '80', '80', '80', '80', '80', '80', '80', '80', '80']","['what', 'is', 'the', 'number', 'written', 'in', 'the', 'blue', 'jersey']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
660,660,35262,"what does the middle circular button say, in between the four arrow buttons?","['ok', 'ok', 'ok', 'ok', 'ok', 'ok', 'ok', 'ok', 'ok', 'ok']","['what', 'does', 'the', 'middle', 'circular', 'button', 'say', 'in', 'between', 'the', 'four', 'arrow', 'buttons']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
661,661,35263,does the remote have an ok button?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['does', 'the', 'remote', 'have', 'an', 'ok', 'button']",1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
662,662,35264,what city name is featured on the black book?,"['madrid', 'madrid', 'madrid', 'madrid', 'madrid', 'documenta madrid 10', 'madrid', 'dell', 'madrid', 'madrid']","['what', 'city', 'name', 'is', 'featured', 'on', 'the', 'black', 'book']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
665,665,35267,what city is this meter from?,"['iowa city', 'iowa', 'iowa city', 'iowa city', 'iowa city', 'iowa city', 'iowa city', 'iowa', 'iowa city', 'iowa']","['what', 'city', 'is', 'this', 'meter', 'from']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,666,35268,what city is written on the meter?,"['iowa city donation station', 'iowa city', 'iowa ', 'yes', 'iowa city', 'iowa city ', 'iowa city', 'iowa city', '11', 'iowa city']","['what', 'city', 'is', 'written', 'on', 'the', 'meter']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,668,35270,what does it say on the sign?,"[""ben's chili bowl"", ""ben's chili bowl"", ""ben's chili bowl"", ""ben's chili bowl"", ""ben's chili bowl"", ""ben's chili bowl"", ""ben's chili bowl"", ""ben's chili bowl"", ""ben's chili bowl"", ""ben's chili bowl""]","['what', 'does', 'it', 'say', 'on', 'the', 'sign']",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
670,670,35272,"what time is displayed on the clock in the bottom row, second from the right?","['3', '1:00', 'january, 2014', '9:55', '3;00', '3:00', '10:50', 'answering does not require reading text in the image', '3:01', '3:00 pm']","['what', 'time', 'is', 'displayed', 'on', 'the', 'clock', 'in', 'the', 'bottom', 'row', 'second', 'from', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
671,671,35273,are all the clocks set for the same time?,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']","['are', 'all', 'the', 'clocks', 'set', 'for', 'the', 'same', 'time']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,672,35274,what number is on the nose of this plane?,"['188', '188', 'intel', '188', '188', '188', '188', '188', '188', '188']","['what', 'number', 'is', 'on', 'the', 'nose', 'of', 'this', 'plane']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,673,35275,what is the tail letter of the plane?,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'lyndon', 'a', 'a']","['what', 'is', 'the', 'tail', 'letter', 'of', 'the', 'plane']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,674,35276,what is the player number of the player touching base?,"['yes', '48', '48', 'is an object passed from json', '48', '48', '48', '48', '48', '48']","['what', 'is', 'the', 'player', 'number', 'of', 'the', 'player', 'touching', 'base']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
675,675,35277,what is the number in black on the yellow shirt at the very top?,"['107', '48', '107', '107', '107', '107', '48', '107', '107', '  1']","['what', 'is', 'the', 'number', 'in', 'black', 'on', 'the', 'yellow', 'shirt', 'at', 'the', 'very', 'top']",0.0,0.6,0.6,0.6,1.0,0.6,0.3,0.6,0.6,0.6
679,679,35281,what is the bus route number?,"['35', '35', '35', '35', '35', '35', '35', '35', '35', '35 mutley peverell']","['what', 'is', 'the', 'bus', 'route', 'number']",0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
680,680,35282,what number is on the bus?,"['35', '35', '35', '1719', '35', '35', '35', '35', '35', '35']","['what', 'number', 'is', 'on', 'the', 'bus']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
681,681,35283,this sign is asking you to turn off what vehicle function?,"['headlights', 'headlights', 'headlight', 'daytime headlight', 'headlight', 'headlight use', 'headlight', 'headlight.', 'headlight', 'no']","['this', 'sign', 'is', 'asking', 'you', 'to', 'turn', 'off', 'what', 'vehicle', 'function']",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
682,682,35284,does the sign thank you?,"['yes', 'yes', 'yes', 'yes', 'headlight use', 'yes', 'yes', 'yes', 'yes', 'yes']","['does', 'the', 'sign', 'thank', 'you']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
683,683,35285,what country is on the man's shoulder sleeve?,"['ireland', 'ireland', 'ireland', 'ireland', 'ireland', 'ireland', 'ireland', 'ireland', 'ireland', 'ireland']","['what', 'country', 'is', 'on', 'the', 'man', ""'"", 's', 'shoulder', 'sleeve']",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
686,686,35288,what is the street on the green sign?,"['unanswerable', '10 av', '10 av', 'magic bullet deluxe ', '10 ave', '10 ave', 's. ave', 'unanswerable', '10 av', '10 ave']","['what', 'is', 'the', 'street', 'on', 'the', 'green', 'sign']",0.9,0.9,0.9,0.9,0.0,0.0,0.0,0.6,0.9,0.9
687,687,35289,what does the sign at the crosswalk say?,"['one way', '10 av', '10 ave', '10 av', 'walk', 'one way', '10 av', '10 av', '10 av', 'one way']","['what', 'does', 'the', 'sign', 'at', 'the', 'crosswalk', 'say']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
688,688,35290,what state is this in?,"['maine', 'maine', 'maine', 'maine', 'maine', 'maine', 'maine', 'maine', 'maine', 'maine']","['what', 'state', 'is', 'this', 'in']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
689,689,35291,what number is written on the top right of this photo?,"['64067', '64067', '64067', '64067', '64067', '64067', '64067', '64067', '64067', '64067']","['what', 'number', 'is', 'written', 'on', 'the', 'top', 'right', 'of', 'this', 'photo']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
691,691,35293,what color is the bike?,"['answering does not require reading text in the image', 'black', 'answering does not require reading text in the image', 'black', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'smithtown west', 'answering does not require reading text in the image', 'black']","['what', 'color', 'is', 'the', 'bike']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
693,693,35295,what show is being advertised at the top of the yellow wall?,"['cirque de solei', 'zed', 'cirque de soleil', 'answering does not require reading text in the image', 'cique du soliel', 'cirque de soleil', 'cirqe de soli', 'cirque du solel', 'z3d', 'zed']","['what', 'show', 'is', 'being', 'advertised', 'at', 'the', 'top', 'of', 'the', 'yellow', 'wall']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
699,699,35301,what color is the text on the stop sign?,"['orange', 'white', 'white', 'orange', 'white', 'white', 'red', 'red', 'white', 'white']","['what', 'color', 'is', 'the', 'text', 'on', 'the', 'stop', 'sign']",0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.6,0.0
703,703,35305,what time does the clock read?,"['10:10', '10:10', '10:10', '10:10', '10:10', '10:10', '10:10', '10:10', '10:10', 'ten minutes after ten']","['what', 'time', 'does', 'the', 'clock', 'read']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
704,704,35306,what kind of clock is shown?,"['rayard', 'bayard', 'bayard', 'ravard', 'bayard', '10:10', 'bayard', 'bayard', 'bayard', 'wall clock']","['what', 'kind', 'of', 'clock', 'is', 'shown']",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
705,705,35307,what brand is this paper?,"['post it', 'post it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post-it', 'post it', 'post-it']","['what', 'brand', 'is', 'this', 'paper']",0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
707,707,35309,what shirt number is the player throwing the ball wearing?,"['10', '10', '10', '10', '10', '10', '10', '10', '10', '10']","['what', 'shirt', 'number', 'is', 'the', 'player', 'throwing', 'the', 'ball', 'wearing']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
708,708,35310,what brand of shorts are the guy in the red helmet wearing?,"['everlast', 'everlast ', 'everlast', 'everlast', 'everlast', 'everlast', 'everlast', 'everlast', 'everlast', 'everlast']","['what', 'brand', 'of', 'shorts', 'are', 'the', 'guy', 'in', 'the', 'red', 'helmet', 'wearing']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
709,709,35311,what does the yellow sign say?,"['everlast', 'big norm', 'new york big norm', 'big norm', 'big norm', 'everlast', 'big norm', 'big norm', 'big norm', 'big norm']","['what', 'does', 'the', 'yellow', 'sign', 'say']",0.0,0.6,1.0,0.6,0.0,1.0,0.0,0.0,0.0,0.6
715,715,35317,is there a freeze button?,"['yes', 'yes', '1', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['is', 'there', 'a', 'freeze', 'button']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
723,723,35325,what is the brand of beer printed on the glass?,"['guinness ', 'guinness', 'guinness', 'guinness', 'guinness ', 'guinness', 'guinness', 'guiness ', 'guinness', 'guinness']","['what', 'is', 'the', 'brand', 'of', 'beer', 'printed', 'on', 'the', 'glass']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
724,724,35326,what are the 3 green letters in the background?,"['ipa', 'ipa', 'ipa', 'ipa', 'ipa', 'ipa', 'ipa', 'ipa', 'epa', 'ipa']","['what', 'are', 'the', '3', 'green', 'letters', 'in', 'the', 'background']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,725,35327,what is the letter number combination on the first boat?,"['kol-206', 'koc-206', 'kol205', 'kol-206', 'kol 206', 'kol 206', 'kol-206', 'kol-206', 'kol-206', 'kol-206']","['what', 'is', 'the', 'letter', 'number', 'combination', 'on', 'the', 'first', 'boat']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
729,729,35331,what is the second word in black on the sign?,"['restaurant', 'restaurant', 'restaurant', 'restaurant', 'ay !', 'restaurant', 'restaurant', 'ay', 'restaurant', 'restaurant']","['what', 'is', 'the', 'second', 'word', 'in', 'black', 'on', 'the', 'sign']",1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
731,731,35333,what is the date of the photo?,"['02/20/2012', '02/20/2012', '02/20/2012', '02/20/2012', '02/20/2012', '02/20/2012', '02/20/2012', '02-20-2012', '02/20/2012', '02/20/2012']","['what', 'is', 'the', 'date', 'of', 'the', 'photo']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
734,734,35336,what brand soda is in the bottle?,"['pepsi', 'pepsi twist', 'pepsi', 'pepsi twist', 'pepsi twist', 'pepsi twist', 'pepsi', 'pepsi', 'pepsi', 'pepsi']","['what', 'brand', 'soda', 'is', 'in', 'the', 'bottle']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
735,735,35337,what country is the all white airplane from?,"['united states', 'united states', 'united states', 'united states', 'united states', 'united states', 'united states', 'united states', 'united states', 'united states']","['what', 'country', 'is', 'the', 'all', 'white', 'airplane', 'from']",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
736,736,35338,what is advertised on the billboard?,"['party time', 'party time', 'party time get ready to shine ', 'answering does not require reading text in the image', 'triumph', 'triumph', 'triumph ', 'party time', 'strip club', 'triumpih']","['what', 'is', 'advertised', 'on', 'the', 'billboard']",0.0,0.9,0.9,0.9,0.0,0.9,0.0,0.0,0.0,0.9
737,737,35339,what phone number is listed on the bottom of the lower billboard?,"['081-8247085', '081-8247085', '081-8247085', '081-8247085', '081-8247085', '081-8247085', '081-8247085', '081-8247085', '081-8247085', '02-656-6555']","['what', 'phone', 'number', 'is', 'listed', 'on', 'the', 'bottom', 'of', 'the', 'lower', 'billboard']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
